"index"	"country"	"country_code"	"age"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
428	"Ecuador"	218	"15-19"	12.32	13.77	14.99	16.06	16.96	17.71	18.31	18.71	19.03	19.31	19.51	19.51
429	"Ecuador"	218	"20-24"	25.45	25.98	26.69	27.21	27.62	27.93	28.14	28.31	28.43	28.5	28.57	28.57
430	"Ecuador"	218	"25-29"	24.18	23.84	23.62	23.41	23.22	23.03	22.9	22.8	22.7	22.64	22.59	22.59
431	"Ecuador"	218	"30-34"	18.57	18.27	17.67	17.16	16.75	16.4	16.14	15.96	15.82	15.72	15.62	15.62
432	"Ecuador"	218	"35-39"	12.25	11.65	11.04	10.53	10.14	9.84	9.6	9.43	9.3	9.22	9.14	9.14
433	"Ecuador"	218	"40-44"	5.97	5.31	4.93	4.64	4.39	4.22	4.07	4	3.93	3.86	3.81	3.81
434	"Ecuador"	218	"45-49"	1.26	1.18	1.06	0.99	0.92	0.85	0.83	0.79	0.8	0.77	0.76	0.76
491	"Fiji"	242	"15-19"	8.28	8.28	7.01	5.73	4.45	3.17	1.9	0.62	0.62	0.62	0.62	0.62
492	"Fiji"	242	"20-24"	29.91	29.91	26.55	23.2	19.85	16.5	13.14	9.79	9.79	9.79	9.79	9.79
493	"Fiji"	242	"25-29"	28.37	28.37	28.9	29.44	29.98	30.51	31.05	31.58	31.58	31.58	31.58	31.58
494	"Fiji"	242	"30-34"	19.02	19.02	22.11	25.2	28.29	31.37	34.46	37.56	37.56	37.56	37.56	37.56
495	"Fiji"	242	"35-39"	9.36	9.36	10.78	12.2	13.62	15.05	16.47	17.89	17.89	17.89	17.89	17.89
496	"Fiji"	242	"40-44"	3.83	3.83	3.62	3.4	3.18	2.97	2.75	2.53	2.53	2.53	2.53	2.53
497	"Fiji"	242	"45-49"	1.23	1.23	1.03	0.83	0.63	0.43	0.23	0.03	0.03	0.03	0.03	0.03
841	"Madagascar"	450	"15-19"	12.23	13.37	14.16	13.9	13.65	13.39	13.13	12.87	12.61	12.35	12.09	11.84
842	"Madagascar"	450	"20-24"	21.51	22.68	23.74	24.22	24.69	25.17	25.64	26.12	26.59	27.07	27.54	28.02
843	"Madagascar"	450	"25-29"	22.18	22.11	22.4	23.54	24.67	25.81	26.95	28.07	29.21	30.35	31.48	32.6
844	"Madagascar"	450	"30-34"	19.48	18.64	18.03	18.09	18.16	18.22	18.28	18.35	18.41	18.47	18.54	18.6
845	"Madagascar"	450	"35-39"	14.72	13.91	13.08	12.45	11.83	11.21	10.59	9.97	9.35	8.73	8.11	7.49
846	"Madagascar"	450	"40-44"	7.65	7.31	6.86	6.26	5.65	5.05	4.45	3.85	3.25	2.65	2.05	1.45
847	"Madagascar"	450	"45-49"	2.23	1.98	1.73	1.54	1.35	1.15	0.96	0.77	0.58	0.38	0.19	0
855	"Malaysia"	458	"15-19"	4	2.59	2.53	2.48	2.42	2.37	2.31	2.25	2.2	2.14	2.08	2.03
856	"Malaysia"	458	"20-24"	22.2	18.8	19.23	19.66	20.1	20.53	20.96	21.39	21.83	22.26	22.69	23.12
857	"Malaysia"	458	"25-29"	30	32.23	33.05	33.86	34.67	35.48	36.29	37.12	37.92	38.73	39.56	40.36
858	"Malaysia"	458	"30-34"	23.6	25.84	25.67	25.5	25.33	25.16	24.99	24.82	24.65	24.48	24.31	24.14
859	"Malaysia"	458	"35-39"	14.4	14.82	14.19	13.56	12.93	12.3	11.67	11.04	10.41	9.78	9.15	8.52
860	"Malaysia"	458	"40-44"	5.2	5.19	4.85	4.52	4.18	3.84	3.51	3.17	2.83	2.5	2.16	1.83
861	"Malaysia"	458	"45-49"	0.6	0.53	0.48	0.42	0.37	0.32	0.27	0.21	0.16	0.11	0.05	0
1002	"Netherlands"	528	"15-19"	1.75	1.43	1.52	1.09	0.97	0.85	0.74	0.62	0.62	0.62	0.62	0.62
1003	"Netherlands"	528	"20-24"	11.97	10.69	10.57	9.99	9.94	9.89	9.84	9.79	9.79	9.79	9.79	9.79
1004	"Netherlands"	528	"25-29"	34.3	30.95	29.3	29.21	29.81	30.41	30.99	31.59	31.59	31.59	31.59	31.59
1005	"Netherlands"	528	"30-34"	36.93	39.06	38.67	38.64	38.37	38.09	37.82	37.55	37.55	37.55	37.55	37.55
1006	"Netherlands"	528	"35-39"	13.07	15.5	17.18	18.12	18.06	18	17.95	17.89	17.89	17.89	17.89	17.89
1007	"Netherlands"	528	"40-44"	1.84	2.28	2.65	2.84	2.76	2.69	2.61	2.53	2.53	2.53	2.53	2.53
1008	"Netherlands"	528	"45-49"	0.14	0.1	0.11	0.11	0.09	0.07	0.05	0.03	0.03	0.03	0.03	0.03
